A/A;Κωδικός;Κωδ.εργοστασίου;Περιγραφή;Ομάδα;Υποομάδα;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Κόστος απογραφής;Κόστος πωληθέντων;Αξία πωληθέντων;Κόστος υπολοίπου;Συντελεστής Μ.Κ.;
1200;011004;ISC-BPR2-WP12 PET;Digital PIR Detector with Pet Immunity, up to 12m detection range;INTRUSION/BA;ΑΝΙΧΝΕΥΤΕΣ/RADAR BA;3,00;37,67;0,00;0,00;0,00;0,00;5,00;62,90;4,00;46,05;8,00;100,57;4,00;46,05;4,00;50,28;37,67;12,57;6,30;50,29;-99,54;
1201;011009;DS-1272ZJ-110B;Wall mount;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;26,00;436,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;436,80;0,00;0,00;26,00;436,80;436,80;0,00;0,00;436,80;0,00;
1202;011010;DS-2CD2163G2-I;6 MP AcuSense Vandal Fixed Dome Network Camera  2.8mm;CCTV;ΚΑΜΕΡΕΣ DOME;16,00;1.382,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;1.382,40;0,00;0,00;16,00;1.382,40;1.382,40;0,00;0,00;1.382,40;0,00;
1203;011012;DSC - HS2TCHPE6 N;"Πληκτρολόγιο Αφής 7"" με Proximity στην Ελληνική γλώσσα,για PowerSeries Neo";INTRUSION/BA;ΠΛΗΚΤΡΟΛΟΓΙΑ BA;1,00;196,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;196,61;0,00;0,00;1,00;196,61;196,61;0,00;0,00;196,61;0,00;
1204;011013;DSC-TL280E;Μονάδα επικοινωνίας μέσω Ethernet.;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;4,00;307,43;0,00;0,00;0,00;0,00;2,00;139,80;2,00;203,70;6,00;447,23;2,00;203,70;4,00;300,48;307,43;150,24;203,70;300,47;26,25;
1205;011027;EL560;ABLOY ΗΛΕΚΤΡ. ΚΛΕΙΔΑΡΙΑ SOLENOID;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;1,00;303,55;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;303,55;1,00;0,00;0,00;0,00;303,55;0,00;0,00;0,00;0,00;
1206;011028;EA328;ABLOY ΑΝΤΙΚΡΥΣΜΑ ΚΛΕΙΔΑΡΙΑΣ;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;8,00;104,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;104,32;0,00;0,00;8,00;104,32;104,32;0,00;0,00;104,32;0,00;
1207;011029;CY322T;CYLINDER Abloy Protec2 31/51mm COLOR SILVER (NO KEYS);ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;4,00;42,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;42,72;0,00;0,00;4,00;42,72;42,72;0,00;0,00;42,72;0,00;
1208;011039;ISC-PMC-S3S;ΜΑΓΝΗΤΙΚΗ ΕΠΑΦΗ GRADE 3;INTRUSION/BA;ΕΠΑΦΕΣ BA;1,00;12,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;12,16;0,00;0,00;1,00;12,16;12,16;0,00;0,00;12,16;0,00;
1209;011040;1337-10;Operating device surface-mounted green RAL 6032;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;4,00;1.454,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;1.454,16;0,00;0,00;4,00;1.454,16;1.454,16;0,00;0,00;1.454,16;0,00;
1210;011047;514.800.806;FC421ICP-I CALL POINT WITH 150L;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;1,00;128,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;128,00;0,00;0,00;1,00;128,00;128,00;0,00;0,00;128,00;0,00;
1211;011050;INT-PP;Πλακέτα επέκτασης εισόδων – εξόδων για πίνακες INTEGRA και INTEGRA PLUS;INTRUSION/BA;ΠΛΑΚΕΤΕΣ/ΕΠΕΚΤΑΣΕΙΣ BA;24,00;1.321,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;1.321,78;0,00;0,00;24,00;1.321,78;1.321,78;0,00;0,00;1.321,78;0,00;
1212;011057;CQR-GP001/AB/G3;Heavy Duty Angled Contact GRADE 3;INTRUSION/BA;ΕΠΑΦΕΣ BA;4,00;90,18;0,00;0,00;0,00;0,00;12,00;313,20;12,00;343,16;16,00;403,38;12,00;343,16;4,00;90,18;90,18;270,54;343,16;90,18;21,16;
1213;011061;MS-N5008-UPC;NVR POE 4K 5000 SERIES;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;151,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;151,22;0,00;0,00;1,00;151,22;151,22;0,00;0,00;151,22;0,00;
1214;011065;A73;ADAPTER PLATE;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;15,00;20,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;20,82;0,00;0,00;15,00;20,82;20,82;0,00;0,00;20,82;0,00;
1215;011066;A64;ADAPTING PLATE;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;10,00;13,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;13,38;0,00;0,00;10,00;13,38;13,38;0,00;0,00;13,38;0,00;
1216;011067;MS-C2983-PD;MINI DOME NETWORK CAMERA IR;CCTV;ΚΑΜΕΡΕΣ DOME;1,00;141,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;141,78;0,00;0,00;1,00;141,78;141,78;0,00;0,00;141,78;0,00;
1217;011069;KI-8039;MODULE FOR 16 KEYS;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;9,00;7.107,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;7.107,51;0,00;0,00;9,00;7.107,51;7.107,51;0,00;0,00;7.107,50;0,00;
1218;011072;KD-8208;CARD READER PROXIMITY;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;1,00;316,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;316,39;0,00;0,00;1,00;316,39;316,39;0,00;0,00;316,39;0,00;
1219;011102;118920;Reduced tee TR 54,0 15,0 54,0 Press fitting;FIRE EXTINGUISHING;WATER MIST PIPING;3,00;450,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;450,77;0,00;0,00;3,00;450,77;450,77;0,00;0,00;450,77;0,00;
1220;011104;116266;NO-032200-CM-P-3.65-12-000-000000 Nozzle ID: CMSEM-SAFE® high-pressure water mist open nozzleK-factor: 3.65Operating pressure: 6;FIRE EXTINGUISHING;WATER MIST PIPING;10,00;718,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;718,75;0,00;0,00;10,00;718,75;718,75;0,00;0,00;718,75;0,00;
1221;011105;117557;NO-032600-CR-P-4.79-12-057-000000 Nozzle ID: CRSEM-SAFE® high-pressure water mist closed nozzleK-factor: 4.79Operating pressure:;FIRE EXTINGUISHING;WATER MIST PIPING;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.890,66;0,00;0,00;0,00;9.890,66;0,00;0,00;0,00;6.635,20;9.890,66;0,00;32,91;
1222;011107;509950;NO-032700-CV-P-5.51-12-057-000000 Nozzle ID: CVSEM-SAFE® high-pressure water mist closed nozzleK-factor: 5.51Operating pressure;FIRE EXTINGUISHING;WATER MIST PIPING;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.065,28;0,00;0,00;0,00;9.065,28;0,00;0,00;0,00;6.086,32;9.065,28;0,00;32,86;
1223;011112;118751;Reducing coupling RED 30,0 15,0 Press fitting;FIRE EXTINGUISHING;WATER MIST PIPING;18,00;840,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;840,22;0,00;0,00;18,00;840,22;840,22;0,00;0,00;840,22;0,00;
1224;011140;118926;SEM-SAFE tube160 15,0 1,0 - 5,80 Meters Stainless steelHP-WM pipe;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;399,00;8.565,33;0,00;0,00;0,00;0,00;0,00;0,00;170,00;6.121,71;399,00;8.565,33;170,00;6.121,71;229,00;4.915,94;8.565,33;4.057,35;6.121,71;4.916,05;33,72;
1225;011156;IES02-B12-BI04-IN;ILLUSTRA ESSENTIAL 2MP BLT VF G4 (INDITEX);CCTV;ΚΑΜΕΡΕΣ BULLET;3,00;425,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;425,56;0,00;0,00;3,00;425,56;425,56;0,00;0,00;425,56;0,00;
1226;011169;TVT TD-2716BE-HP 4K;4K H.265 ψηφιακό 5-υβριδικό καταγραφικό 16 καμερών, 8 ήχων και 16 εισόδων συναγερμού.;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;307,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;307,00;0,00;0,00;1,00;307,00;307,00;0,00;0,00;307,00;0,00;
1227;011170;WD40PURZ;"Western Digital Purple 4TB HDD Σκληρός Δίσκος 3.5"" SATA III 5400rpm με 64MB Cache για Καταγραφικό";CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;85,13;0,00;0,00;0,00;0,00;12,00;1.380,00;0,00;0,00;13,00;1.465,13;0,00;0,00;13,00;1.523,93;85,13;0,00;0,00;1.523,93;0,00;
1228;011175;ASF280ZL;ΒΑΣΗ ΗΛΕΚΤΡΟΜΑΓΝΗΤΗ;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;1,00;11,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;11,28;0,00;0,00;1,00;11,28;11,28;0,00;0,00;11,28;0,00;
1229;011176;NOV CARDS;PROXIMITY CARD 125MHz , 26 bits;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;10,00;3,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;3,50;0,00;0,00;10,00;3,50;3,50;0,00;0,00;3,50;0,00;
1230;011201;63013030;INERGEN Manual  release caution plate English;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;4,00;85,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;85,30;0,00;0,00;4,00;85,30;85,30;0,00;0,00;85,30;0,00;
1231;011203;27511;1 1/2 in BSPT orifice assembly;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;0,00;0,00;0,00;0,00;0,00;0,00;54,00;4.951,57;54,00;10.287,00;54,00;4.951,57;54,00;10.287,00;0,00;0,00;0,00;4.951,57;10.287,00;0,00;51,87;
1232;011205;448416T;3/4 in BSPT orifice assembly;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;0,00;0,00;0,00;0,00;0,00;0,00;54,00;2.278,05;54,00;4.690,98;54,00;2.278,05;54,00;4.690,98;0,00;0,00;0,00;2.278,05;4.690,98;0,00;51,44;
1233;011222;DS-2CD6984G0-IHS(AC) (2.8;32 MP 180° PanoVu Network Camerac;CCTV;ΚΑΜΕΡΕΣ PANORAMIC;4,00;3.665,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;3.665,74;0,00;0,00;4,00;3.665,74;3.665,74;0,00;0,00;3.665,74;0,00;
1234;011226;HikCentral-P-VSS-Base/HW/300Ch;HikCentral-P-VSS-Base/HW/300Ch;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;6.521,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;6.521,71;0,00;0,00;1,00;6.521,71;6.521,71;0,00;0,00;6.521,71;0,00;
1235;011232;0101-0386-02;R/U MKAMK-1010 PWR DETACHER FLUSH MOUNT;EAS;SPARE PARTS EAS;1,00;81,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;81,46;0,00;0,00;1,00;81,46;81,46;0,00;0,00;81,46;0,00;
1236;011235;EM110;ADDRESSABLE INPUT MODULE;FIRE DETECTION;ΠΛΑΚΕΤΕΣ/ΕΠΕΚΤΑΣΕΙΣ FIRE;60,00;1.080,00;0,00;0,00;0,00;0,00;68,00;1.910,80;68,00;1.765,09;128,00;2.990,80;68,00;1.765,09;60,00;1.686,00;1.080,00;1.910,80;1.765,09;1.686,00;-8,26;
1237;011236;20NKS-02-0002BL;"HID Signo 20, Mullion, Smart Profile 13.56mHz, OSDP/Wiegand, Pigtail 18"" 0,5m, Mobile Ready";ACCESS CONTROL;READERS;3,00;363,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;363,31;0,00;0,00;3,00;363,31;363,31;0,00;0,00;363,31;0,00;
1238;011240;ASR1200D-D;Αδιάβροχος αναγνώστης καρτών Proximity 125KHz;ACCESS CONTROL;READERS;2,00;40,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;40,26;0,00;0,00;2,00;40,26;40,26;0,00;0,00;40,26;0,00;
1239;011241;PN11591;AJAX BRANDPLATE FOR STREET SIREN DOUBLE DECK WHITE;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;0,00;0,00;0,00;0,00;0,00;0,00;2,00;7,51;2,00;10,02;2,00;7,51;2,00;10,02;0,00;0,00;0,00;7,51;10,02;0,00;25,05;
1240;011244;STREET SIREN DOUBLE DECK;AJAX SYSTEMS - STREET SIREN DOUBLE DECK WHITE;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;0,00;0,00;0,00;0,00;0,00;0,00;2,00;127,23;2,00;169,66;2,00;127,23;2,00;169,66;0,00;0,00;0,00;127,23;169,66;0,00;25,01;
1241;011256;MBK03-200-05;ΚΑΣΜΑΣ ΜΕ ΣΤΥΛΕΟ (ΑΞΙΝΑ);FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;14,00;59,66;0,00;0,00;0,00;0,00;4,00;16,52;4,00;5,46;18,00;76,18;4,00;5,46;14,00;59,66;59,66;17,04;5,46;59,66;-212,17;
1242;011257;MBK03-200-01;ΛΟΣΤΟΣ;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;14,00;46,62;0,00;0,00;0,00;0,00;4,00;12,99;4,00;4,27;18,00;59,61;4,00;4,27;14,00;46,74;46,62;13,36;4,27;46,74;-212,78;
1243;011258;MBK19-FS-STATIONBIG;ΣΤΑΘΜΟΣ ΜΕΓΑΛΟΣ 80Χ70Χ35 +ΓΑΝΤΖΑΚΙΑ;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;4,00;280,64;0,00;0,00;0,00;0,00;1,00;67,35;1,00;293,70;5,00;347,99;1,00;293,70;4,00;280,64;280,64;70,16;293,70;280,64;76,11;
1244;011265;DS-2DF7C425IXR-AEL(T5);7-inch 4 MP 25X DarkFighter IR Network Speed Dome;CCTV;ΚΑΜΕΡΕΣ DOME;2,00;1.482,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;1.482,78;0,00;0,00;2,00;1.482,78;1.482,78;0,00;0,00;1.482,78;0,00;
1245;011271;2000160006/C;Εξάρτημα ερμαρίου Ράφι 482,6X44,45X350mm;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;1,00;52,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;52,68;0,00;0,00;1,00;52,68;52,68;0,00;0,00;52,68;0,00;
1246;011275;QND-7082R;"Wisenet Q network IR indoor dome camera, 4MP @30fps, 3.2 ~ 10.0mm motorized vari-focal lens, 1/3"" CMOS,triple codec H.265/H.264/";CCTV;ΚΑΜΕΡΕΣ DOME;1,00;244,09;0,00;0,00;0,00;0,00;8,00;2.047,99;0,00;0,00;9,00;2.292,08;0,00;0,00;9,00;2.336,22;244,09;0,00;0,00;2.336,22;0,00;
1247;011277;QNV-7082R;Wisenet Q 4MP Network IR outdoor Vandal Dome Camera;CCTV;ΚΑΜΕΡΕΣ DOME;22,00;5.075,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;5.075,91;0,00;0,00;22,00;5.075,91;5.075,91;0,00;0,00;5.075,90;0,00;
1248;011281;SBP-300WMW1;Aluminum Wall Mount;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;6,00;145,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;145,94;0,00;0,00;6,00;145,94;145,94;0,00;0,00;145,94;0,00;
1249;011304;ASC1204C-D;Mονάδα ελέγχου πρόσβασης για 4 πόρτες - Διπλής κατεύθυνσης;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;2,00;385,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;385,80;0,00;0,00;2,00;385,80;385,80;0,00;0,00;385,80;0,00;
1250;011305;RI31S;Ηχητικός Επαναλήπτης;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE CONVENTIONAL;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;4,00;0,00;0,00;1,00;4,00;4,00;0,00;0,00;4,00;0,00;
1251;011306;HDR-30-12;ΤΡΟΦΟΔΟΤΙΚΟ 12V 2A 24W ULTRASLIM;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;0,00;0,00;0,00;0,00;0,00;0,00;1,00;18,00;1,00;0,00;1,00;18,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
1252;011309;KX09-016-46A-324;Βάση Στηρ. Φιάλης dia324;FIRE EXTINGUISHING;ΦΙΑΛΕΣ;3,00;30,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;30,99;0,00;0,00;3,00;30,99;30,99;0,00;0,00;30,99;0,00;
1253;011310;029720171;Μανόμετρο με P. Switch 0-40BAR RT;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;3,00;196,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;196,80;0,00;0,00;3,00;196,80;196,80;0,00;0,00;196,80;0,00;
1254;011316;PROID10-B;Kαρταναγνώστης για κάρτες Proximity 125kHz PROID10 Black;ACCESS CONTROL;READERS;2,00;46,56;0,00;0,00;0,00;0,00;0,00;0,00;2,00;110,00;2,00;46,56;2,00;110,00;0,00;0,00;46,56;46,56;110,00;0,00;57,67;
1255;011324;UTP-CAT5E 1m;PATCH CORD;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;0,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,63;0,00;0,00;1,00;0,63;0,63;0,00;0,00;0,63;0,00;
1256;011325;2003010587;Card reader plexy K46-32;ACCESS CONTROL;READERS;1,00;16,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;16,24;0,00;0,00;1,00;16,24;16,24;0,00;0,00;16,24;0,00;
1257;011326;3001050047;PC808V3 BOARD;ACCESS CONTROL;READERS;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;122,00;1,00;0,00;1,00;122,00;0,00;0,00;0,00;0,00;122,00;0,00;100,00;
1258;011330;SUP-BEW2-ODPB;BioEntry W2 Fingerprint Biometric Reader, Dual RFID (125kHz EM : 13.56Mhz MIFARE, DESFire/EV1, FeliCa, NFC, ISO14443A/B, ISO1569;ACCESS CONTROL;READERS;15,00;6.844,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;6.844,41;0,00;0,00;15,00;6.844,41;6.844,41;0,00;0,00;6.844,41;0,00;
1259;011331;2000480007/C;Εξάρτημα ερμαρίου Ράφι 482,6X44,45X550mm;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;1,00;58,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;58,73;0,00;0,00;1,00;58,73;58,73;0,00;0,00;58,73;0,00;
1260;011332;DSC - AC-101;Ανιχνευτής θραύσης κρυστάλλων AC-101;INTRUSION/BA;ΑΝΙΧΝΕΥΤΕΣ/RADAR BA;13,00;366,08;0,00;0,00;0,00;0,00;18,00;501,67;4,00;148,00;31,00;867,75;4,00;148,00;27,00;753,62;366,08;111,65;148,00;753,62;24,56;
1261;011341;576.501.080;"ClamBell 24 V 6"" Fire Alarm Bell - Shallow Base - Red";FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE ADDRESSABLE;0,00;0,00;0,00;0,00;0,00;0,00;1,00;14,79;1,00;31,92;1,00;14,79;1,00;31,92;0,00;0,00;0,00;12,65;31,92;0,00;60,36;
1262;011344;PROID10-W;Kαρταναγνώστης για κάρτες Proximity 125kHz PROID10 White;ACCESS CONTROL;READERS;52,00;950,09;0,00;0,00;0,00;0,00;0,00;0,00;50,00;1.487,00;52,00;950,09;50,00;1.487,00;2,00;36,54;950,09;913,55;1.487,00;36,54;38,56;
1263;011345;IP-ACM2A-EP;IP-ACM V2 Door Module, 2 reader, in Plastic Enclosure IP-ACM in wall-mount 183 x 307 x 62 mm (7.2 x 12.1 x 2.4 in) plastic enclo;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;2,00;685,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;685,63;0,00;0,00;2,00;685,63;685,63;0,00;0,00;685,63;0,00;
1264;011348;SL-103;Σειρήνα εσωτερικού χώρου;INTRUSION/BA;ΣΕΙΡΗΝΕΣ BA;102,00;349,46;0,00;0,00;0,00;0,00;0,00;0,00;72,00;361,89;102,00;349,46;72,00;361,89;30,00;102,79;349,46;246,68;361,89;102,78;31,84;
1265;011353;DS-3E0326P-E/M(B);SWITCH 24 PoE;IT;SWITCHES;1,00;150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;150,00;0,00;0,00;1,00;150,00;150,00;0,00;0,00;150,00;0,00;
1266;011359;1122414320;ΚΑΝΑΛΙ ΔΙΑΝΟΜΗΣ ΑΥΤΟΚΟΛ. 20Χ13mm ΛΕΥΚΟ;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;0,00;0,00;0,00;0,00;0,00;0,00;10,00;31,86;0,00;0,00;10,00;31,86;0,00;0,00;10,00;31,86;0,00;0,00;0,00;31,86;0,00;
1267;011368;EB86M;ΜΠΟΥΤΟΝ ΕΞΟΔΟΥ;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;1,00;2,86;0,00;0,00;0,00;0,00;20,00;54,08;19,00;269,61;21,00;56,94;19,00;269,61;2,00;5,42;2,86;51,52;269,61;5,42;80,89;
1268;011369;2002PGGMN;HID iCLASS 16K16 Contactless PVC Smart card, 16K bits with 16 application areas. Plain white PVC with sequential matching intern;ACCESS CONTROL;CARDS/TAGS (ACCESS);55,00;269,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;55,00;269,39;0,00;0,00;55,00;269,39;269,39;0,00;0,00;269,39;0,00;
1269;011374;36588888;"Manifold, selector valve, sch 80, 5 port, 4"", painted - Left to Right- ( 2 1/2"" , 2 1/2"" , 2 1/2"" , 3"" , 2 1/2"")";FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;1,00;1.203,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1.203,25;0,00;0,00;1,00;1.203,25;1.203,25;0,00;0,00;1.203,25;0,00;
1270;011376;EA330;ΑΝΤΙΚΡΥΣΜΑ;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;0,00;0,00;0,00;0,00;0,00;0,00;1,00;17,30;0,00;0,00;1,00;17,30;0,00;0,00;1,00;17,08;0,00;0,00;0,00;17,08;0,00;
1271;011382;DS-2CD2935FWD-I;3MP Fisheye Darkfighter Dome Network Camera lens 1.16mm, IR8m;CCTV;ΚΑΜΕΡΕΣ DOME;4,00;502,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;502,35;0,00;0,00;4,00;502,35;502,35;0,00;0,00;502,35;0,00;
1272;011404;ZPSS-IC2-12MNB;I/K INTC CBL 11512M NON BRL;EAS;CABLES EAS;5,00;244,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;244,78;0,00;0,00;5,00;244,78;244,78;0,00;0,00;244,78;0,00;
1273;011408;576.080.003;P80SW Addressable Wall Sounder White;FIRE DETECTION;SPARE PARTS FIRE DETECTION;7,00;365,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;365,98;0,00;0,00;7,00;365,98;365,98;0,00;0,00;365,98;0,00;
1274;011409;509.030.121;Extinguishing hold off manual callpoint;FIRE DETECTION;MCP CONVENTIONAL;2,00;65,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;65,31;0,00;0,00;2,00;65,31;65,31;0,00;0,00;65,31;0,00;
1275;011413;516.018.021;VLF-250-01 LASFOCUS EUR DECAL;FIRE DETECTION;VESDA & PIPING;1,00;1.140,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1.140,60;0,00;0,00;1,00;1.140,60;1.140,60;0,00;0,00;1.140,60;0,00;
1276;011416;GH0916;FlexZone Cable Ties (pack of 1.000);CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;83,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;83,58;0,00;0,00;1,00;83,58;83,58;0,00;0,00;83,58;0,00;
1277;011422;VPSU-12V-U;12V Power Supply;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;20,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;20,74;0,00;0,00;1,00;20,74;20,74;0,00;0,00;20,74;0,00;
1278;011423;VPSU-57-1500;57V Power Supply;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;1,00;67,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;67,73;0,00;0,00;1,00;67,73;67,73;0,00;0,00;67,73;0,00;
